team,season,year,position,pts,xpts,next_position,next_pts,survived_next_season,combined_probability
Arsenal,2022/23,2022,2,84,72.5338,2.0,89.0,1,0.9999999910648355
Arsenal,2023/24,2023,2,89,81.9379,2.0,74.0,1,0.999999999792444
Arsenal,2024/25,2024,2,74,72.9622,,,0,0.9999999732683382
Aston Villa,2022/23,2022,7,61,54.3668,4.0,68.0,1,0.9998747367784993
Aston Villa,2023/24,2023,4,68,55.42860000000002,5.0,66.0,1,0.9999801338205156
Aston Villa,2024/25,2024,5,66,61.5269,,,0,0.9999814257217414
Bournemouth,2022/23,2022,15,39,34.7342,12.0,48.0,1,0.3518661538618904
Bournemouth,2023/24,2023,12,48,53.47010000000001,9.0,56.0,1,0.994402049909256
Bournemouth,2024/25,2024,9,56,65.0254,,,0,0.9999043466886283
Brentford,2022/23,2022,9,59,58.26480000000001,16.0,39.0,1,0.999683385316337
Brentford,2023/24,2023,16,39,52.941500000000005,10.0,56.0,1,0.9796812616647202
Brentford,2024/25,2024,10,56,54.93919999999999,,,0,0.9985842682206183
Brighton,2022/23,2022,6,62,70.85740000000001,13.0,48.0,1,0.9999987013314567
Brighton,2023/24,2023,13,48,54.43240000000002,8.0,61.0,1,0.9985552846977489
Brighton,2024/25,2024,8,61,57.26350000000002,,,0,0.9999565143182435
Burnley,2023/24,2023,19,24,33.6878,,,0,0.04129104742776603
Chelsea,2022/23,2022,12,44,52.28199999999999,6.0,63.0,1,0.9991795636719019
Chelsea,2023/24,2023,6,63,64.1976,4.0,69.0,1,0.999989948429666
Chelsea,2024/25,2024,4,69,62.5617,,,0,0.9999982925021497
Crystal Palace,2022/23,2022,11,45,44.23969999999999,10.0,49.0,1,0.9825488904543316
Crystal Palace,2023/24,2023,10,49,50.456300000000006,12.0,53.0,1,0.9968272503772743
Crystal Palace,2024/25,2024,12,53,58.15670000000001,,,0,0.9988745288648752
Everton,2022/23,2022,17,36,40.71319999999999,11.0,48.0,1,0.5869025630489582
Everton,2023/24,2023,11,48,53.102,13.0,48.0,1,0.9957159373829939
Everton,2024/25,2024,13,48,47.6514,,,0,0.9879287414635665
Fulham,2022/23,2022,10,52,39.23700000000001,14.0,47.0,1,0.9802647264710519
Fulham,2023/24,2023,14,47,44.98500000000001,11.0,54.0,1,0.9799730382265651
Fulham,2024/25,2024,11,54,57.6028,,,0,0.9996415914036354
Ipswich,2024/25,2024,19,22,28.4466,,,0,0.004572013739009403
Leeds,2022/23,2022,19,31,40.5808,,,0,0.5903873356277873
Leicester,2022/23,2022,18,34,45.07360000000001,18.0,25.0,1,0.7881133614673318
Leicester,2024/25,2024,18,25,26.43030000000001,,,0,0.0059469856500330275
Liverpool,2022/23,2022,5,67,67.36929999999998,3.0,82.0,1,0.9999996065972598
Liverpool,2023/24,2023,3,82,76.88369999999998,1.0,84.0,1,0.9999999950710483
Liverpool,2024/25,2024,1,84,81.84370000000001,,,0,0.9999999977458955
Luton,2023/24,2023,18,26,32.327000000000005,,,0,0.015835027153952182
Manchester City,2022/23,2022,1,89,83.04229999999998,1.0,91.0,1,0.9999999994895148
Manchester City,2023/24,2023,1,91,83.06739999999999,3.0,71.0,1,0.9999999997728712
Manchester City,2024/25,2024,3,71,64.66310000000001,,,0,0.9999997614255854
Manchester United,2022/23,2022,3,75,66.39949999999999,8.0,60.0,1,0.9999994753683145
Manchester United,2023/24,2023,8,60,44.418600000000005,15.0,42.0,1,0.9975111452148837
Manchester United,2024/25,2024,15,42,52.2395,,,0,0.9964852867954911
Newcastle United,2022/23,2022,4,71,71.6661,7.0,60.0,1,0.9999998875113203
Newcastle United,2023/24,2023,7,60,65.58999999999999,6.0,66.0,1,0.9999885524659277
Newcastle United,2024/25,2024,6,66,62.61070000000001,,,0,0.9999959026126893
Nottingham Forest,2022/23,2022,16,38,35.04610000000001,17.0,36.0,1,0.15523259996351707
Nottingham Forest,2023/24,2023,17,36,50.17410000000001,7.0,65.0,1,0.828896463690628
Nottingham Forest,2024/25,2024,7,65,50.0071,,,0,0.9997087673407536
Sheffield United,2023/24,2023,20,16,28.53139999999999,,,0,0.0009686265157253054
Southampton,2022/23,2022,20,25,36.4664,20.0,12.0,1,0.10550550179045212
Southampton,2024/25,2024,20,12,22.6856,,,0,0.0004505618326425899
Tottenham,2022/23,2022,8,60,57.60180000000001,5.0,66.0,1,0.999795742950056
Tottenham,2023/24,2023,5,66,57.42,17.0,38.0,1,0.9999977915330559
Tottenham,2024/25,2024,17,38,50.0654,,,0,0.9850111852221023
West Ham,2022/23,2022,14,40,51.61719999999999,9.0,52.0,1,0.9507137158799798
West Ham,2023/24,2023,9,52,41.2783,14.0,43.0,1,0.80172302369974
West Ham,2024/25,2024,14,43,41.76000000000001,,,0,0.9050064908640689
Wolverhampton Wanderers,2022/23,2022,13,41,35.00809999999999,15.0,46.0,1,0.7930098618141177
Wolverhampton Wanderers,2023/24,2023,15,46,39.7876,16.0,42.0,1,0.6625244052072197
Wolverhampton Wanderers,2024/25,2024,16,42,41.4533,,,0,0.9302893620146306
